source_name,standard_name
"Cà Mau","Ca Mau"
"C? NU?C","Ca Nuoc"
"Ð?ng Nai","Dong Nai"
"An Giang","An Giang"
"Hà Tây","Ha Tay"
"Ð?ng b?ng sông H?ng","Dong bang song Hong"
"Ngh? An","Nghe An"
"L?ng Son","Lang Son"
"Phú Th?","Phu Tho"
"Vinh Phúc","Vinh Phuc"
"Thái Bình","Thai Binh"
"B?c Liêu","Bac Lieu"
"Qu?ng Bình","Quang Binh"
"Trà Vinh","Tra Vinh"
"B?n Tre","Ben Tre"
"Tây Ninh","Tay Ninh"
"Kiên Giang","Kien Giang"
"Lai Châu","Lai Chau"
"Bình Duong","Binh Duong"
"Gia Lai","Gia Lai"
"H?i Duong","Hai Duong"
"B?c Trung B? và Duyên h?i mi?n Trung","Bac Trung Bo va Duyen hai mien Trung"
"Hà Nam","Ha Nam"
"Ðà N?ng","Da Nang"
"Ði?n Biên","Dien Bien"
"Phú Yên","Phu Yen"
"Ninh Thu?n","Ninh Thuan"
"Ti?n Giang","Tien Giang"
"B?c Ninh","Bac Ninh"
"Ð?ng b?ng sông C?u Long","Dong bang song Cuu Long"
"Tuyên Quang","Tuyen Quang"
"Long An","Long An"
"Hung Yên","Hung Yen"
"Ð?k L?k","Dak Lak"
"Vinh Long","Vinh Long"
"Trung du và mi?n núi phía B?c","Trung du va mien nui phia Bac"
"Khánh Hoà","Khanh Hoa"
"Sóc Trang","Soc Trang"
"Thái Nguyên","Thai Nguyen"
"Qu?ng Nam","Quang Nam"
"Bình Thu?n","Binh Thuan"
"Nam Ð?nh","Nam Dinh"
"Bà R?a - Vtng Tàu","Ba Ria - Vung Tau"
"Hoà Bình","Hoa Binh"
"B?c Giang","Bac Giang"
"Cao B?ng","Cao Bang"
"Qu?ng Tr?","Quang Tri"
"Bình Phu?c","Binh Phuoc"
"Lào Cai","Lao Cai"
"Hà Tinh","Ha Tinh"
"C?n Tho","Can Tho"
"H?u Giang","Hau Giang"
"Qu?ng Ngãi","Quang Ngai"
"H?i Phòng","Hai Phong"
"Hà N?i","Ha Noi"
"Son La","Son La"
"Ðông Nam B?","Dong Nam Bo"
"Tây Nguyên","Tay Nguyen"
"Kon Tum","Kon Tum"
"Qu?ng Ninh","Quang Ninh"
"Ninh Bình","Ninh Binh"
"Lâm Ð?ng","Lam Dong"
"Ð?ng Tháp","Dong Thap"
"Hà Giang","Ha Giang"
"Thanh Hoá","Thanh Hoa"
"Yên Bái","Yen Bai"
"Th?a Thiên Hu?","Thua Thien Hue"
"B?c K?n","Bac Kan"
"Ð?k Nông","Dak Nong"
"TP.H? Chí Minh","TP Ho Chi Minh"
"Bình Ð?nh","Binh Dinh"